YEAR,paper,citations
2020,DAVD-Net: Deep Audio-Aided Video Decompression of Talking Heads,6
2020,Label Distribution Learning on Auxiliary Label Space Graphs for Facial Expression Recognition,28
2020,3DV: 3D Dynamic Voxel for Action Recognition in Depth Video,15
2020,MnasFPN: Learning Latency-Aware Pyramid Architecture for Object Detection on Mobile Devices,23
2020,ClusterVO: Clustering Moving Instances and Estimating Visual Odometry for Self and Surroundings,20
2020,Self-Supervised Scene De-Occlusion,26
2020,Zooming Slow-Mo: Fast and Accurate One-Stage Space-Time Video Super-Resolution,47
2020,Local-Global Video-Text Interactions for Temporal Grounding,49
2020,Adversarial Robustness: From Self-Supervised Pre-Training to Fine-Tuning,77
2020,Disp R-CNN: Stereo 3D Object Detection via Shape Prior Guided Instance Disparity Estimation,20
2020,What Does Plate Glass Reveal About Camera Calibration?,4
2020,CoverNet: Multimodal Behavior Prediction Using Trajectory Sets,89
2020,Revisiting the Sibling Head in Object Detector,89
2020,"Why Having 10,000 Parameters in Your Camera Model Is Better Than Twelve",17
2020,GraphTER: Unsupervised Learning of Graph Transformation Equivariant Representations via Auto-Encoding Node-Wise Transformations,19
2020,Domain Decluttering: Simplifying Images to Mitigate Synthetic-Real Domain Shift and Improve Depth Estimation,10
2020,Deep Generative Model for Robust Imbalance Classification,8
2020,Predicting Goal-Directed Human Attention Using Inverse Reinforcement Learning,18
2020,Unsupervised Domain Adaptation via Structurally Regularized Deep Clustering,50
2020,HCNAF: Hyper-Conditioned Neural Autoregressive Flow and its Application for Probabilistic Occupancy Map Forecasting,11
2020,Progressive Mirror Detection,9
2020,FPConv: Learning Local Flattening for Point Convolution,43
2020,Detailed 2D-3D Joint Representation for Human-Object Interaction,35
2020,State-Relabeling Adversarial Active Learning,32
2020,Attention-Aware Multi-View Stereo,19
2020,SpSequenceNet: Semantic Segmentation Network on 4D Point Clouds,21
2020,"Transferable, Controllable, and Inconspicuous Adversarial Attacks on Person Re-identification With Deep Mis-Ranking",35
2020,Learning Texture Transformer Network for Image Super-Resolution,138
2020,A Stochastic Conditioning Scheme for Diverse Human Motion Prediction,30
2020,Recursive Social Behavior Graph for Trajectory Prediction,41
2020,Revisiting Saliency Metrics: Farthest-Neighbor Area Under Curve,1
2020,Deep White-Balance Editing,29
2020,Learning Weighted Submanifolds With Variational Autoencoders and Riemannian Variational Autoencoders,5
2020,Training Noise-Robust Deep Neural Networks via Meta-Learning,14
2020,Light-weight Calibrator: A Separable Component for Unsupervised Domain Adaptation,7
2020,Supervised Raw Video Denoising With a Benchmark Dataset on Dynamic Scenes,17
2020,PFCNN: Convolutional Neural Networks on 3D Surfaces Using Parallel Frames,29
2020,Deep 3D Capture: Geometry and Reflectance From Sparse Multi-View Images,28
2020,Vision-Dialog Navigation by Exploring Cross-Modal Memory,22
2020,Global Optimality for Point Set Registration Using Semidefinite Programming,8
2020,ViewAL: Active Learning With Viewpoint Entropy for Semantic Segmentation,38
2020,"EventSR: From Asynchronous Events to Image Reconstruction, Restoration, and Super-Resolution via End-to-End Adversarial Learning",29
2020,Semantics-Guided Neural Networks for Efficient Skeleton-Based Human Action Recognition,61
2020,DLWL: Improving Detection for Lowshot Classes With Weakly Labelled Data,9
2020,End-to-End Learning of Visual Representations From Uncurated Instructional Videos,180
2020,RPM-Net: Robust Point Matching Using Learned Features,86
2020,Imitative Non-Autoregressive Modeling for Trajectory Forecasting and Imputation,16
2020,PADS: Policy-Adapted Sampling for Visual Similarity Learning,12
2020,ViBE: Dressing for Diverse Body Shapes,11
2020,Scalability in Perception for Autonomous Driving: Waymo Open Dataset,425
2020,Coherent Reconstruction of Multiple Humans From a Single Image,50
2020,Inflated Episodic Memory With Region Self-Attention for Long-Tailed Visual Recognition,18
2020,Temporal-Context Enhanced Detection of Heavily Occluded Pedestrians,24
2020,Multi-Domain Learning for Accurate and Few-Shot Color Constancy,16
2020,Semantic Image Manipulation Using Scene Graphs,23
2020,Mask Encoding for Single Shot Instance Segmentation,34
2020,"Train in Germany, Test in the USA: Making 3D Object Detectors Generalize",29
2020,"D3VO: Deep Depth, Deep Pose and Deep Uncertainty for Monocular Visual Odometry",94
2020,P2B: Point-to-Box Network for 3D Object Tracking in Point Clouds,24
2020,GP-NAS: Gaussian Process Based Neural Architecture Search,18
2020,FroDO: From Detections to 3D Objects,19
2020,Bi-Directional Interaction Network for Person Search,21
2020,12-in-1: Multi-Task Vision and Language Representation Learning,154
2020,What It Thinks Is Important Is Important: Robustness Transfers Through Input Gradients,20
2020,DeeperForensics-1.0: A Large-Scale Dataset for Real-World Face Forgery Detection,77
2020,UniPose: Unified Human Pose Estimation in Single Images and Videos,38
2020,Advancing High Fidelity Identity Swapping for Forgery Detection,30
2020,Multi-scale Domain-adversarial Multiple-instance CNN for Cancer Subtype Classification with Unannotated Histopathological Images,29
2020,Attention Scaling for Crowd Counting,62
2020,Super-BPD: Super Boundary-to-Pixel Direction for Fast Image Segmentation,5
2020,Robustness Guarantees for Deep Neural Networks on Videos,13
2020,Single-Stage 6D Object Pose Estimation,32
2020,RoboTHOR: An Open Simulation-to-Real Embodied AI Platform,45
2020,End-to-End Learnable Geometric Vision by Backpropagating PnP Optimization,19
2020,Cascaded Deep Video Deblurring Using Temporal Sharpness Prior,21
2020,Composing Good Shots by Exploiting Mutual Relations,10
2020,SSRNet: Scalable 3D Surface Reconstruction Network,10
2020,Video Modeling With Correlation Networks,49
2020,Multi-Mutual Consistency Induced Transfer Subspace Learning for Human Motion Segmentation,20
2020,A Novel Recurrent Encoder-Decoder Structure for Large-Scale Multi-View Stereo Reconstruction From an Open Aerial Dataset,11
2020,SuperGlue: Learning Feature Matching With Graph Neural Networks,252
2020,Filter Grafting for Deep Neural Networks,16
2020,Solving Mixed-Modal Jigsaw Puzzle for Fine-Grained Sketch-Based Image Retrieval,14
2020,Leveraging Photometric Consistency Over Time for Sparsely Supervised Hand-Object Reconstruction,36
2020,Learning Multi-View Camera Relocalization With Graph Neural Networks,8
2020,Learning to Cartoonize Using White-Box Cartoon Representations,18
2020,SLV: Spatial Likelihood Voting for Weakly Supervised Object Detection,14
2020,Through the Looking Glass: Neural 3D Reconstruction of Transparent Shapes,8
2020,Partial Weight Adaptation for Robust DNN Inference,0
2020,Transformation GAN for Unsupervised Image Synthesis and Representation Learning,14
2020,DoveNet: Deep Image Harmonization via Domain Verification,38
2020,Advisable Learning for Self-Driving Vehicles by Internalizing Observation-to-Action Rules,8
2020,DuDoRNet: Learning a Dual-Domain Recurrent Network for Fast MRI Reconstruction With Deep T1 Prior,25
2020,"Inverse Rendering for Complex Indoor Scenes: Shape, Spatially-Varying Lighting and SVBRDF From a Single Image",59
2020,Wish You Were Here: Context-Aware Human Generation,5
2020,Single Image Reflection Removal With Physically-Based Training Images,13
2020,Hierarchical Clustering With Hard-Batch Triplet Loss for Person Re-Identification,67
2020,SEAN: Image Synthesis With Semantic Region-Adaptive Normalization,126
2020,Set-Constrained Viterbi for Set-Supervised Action Segmentation,14
2020,RetinaTrack: Online Single Stage Joint Detection and Tracking,44
2020,SP-NAS: Serial-to-Parallel Backbone Search for Object Detection,23
2020,Regularizing Neural Networks via Minimizing Hyperspherical Energy,10
2020,ReDA:Reinforced Differentiable Attribute for 3D Face Reconstruction,12
2020,Robust Design of Deep Neural Networks Against Adversarial Attacks Based on Lyapunov Theory,8
2020,STINet: Spatio-Temporal-Interactive Network for Pedestrian Detection and Trajectory Prediction,29
2020,Rethinking Zero-Shot Video Classification: End-to-End Training for Realistic Applications,30
2020,Hierarchical Pyramid Diverse Attention Networks for Face Recognition,23
2020,A U-Net Based Discriminator for Generative Adversarial Networks,70
2020,Deep Geometric Functional Maps: Robust Feature Learning for Shape Correspondence,37
2020,RevealNet: Seeing Behind Objects in RGB-D Scans,18
2020,AdversarialNAS: Adversarial Neural Architecture Search for GANs,40
2020,PointRend: Image Segmentation As Rendering,196
2020,MAST: A Memory-Augmented Self-Supervised Tracker,58
2020,“Looking at the Right Stuff” – Guided Semantic-Gaze for Autonomous Driving,12
2020,Boosting Semantic Human Matting With Coarse Annotations,25
2020,Single-Side Domain Generalization for Face Anti-Spoofing,45
2020,Unpaired Image Super-Resolution Using Pseudo-Supervision,38
2020,RL-CycleGAN: Reinforcement Learning Aware Simulation-to-Real,40
2020,Violin: A Large-Scale Dataset for Video-and-Language Inference,20
2020,Learning Geocentric Object Pose in Oblique Monocular Images,6
2020,SER-FIQ: Unsupervised Estimation of Face Image Quality Based on Stochastic Embedding Robustness,29
2020,SCT: Set Constrained Temporal Transformer for Set Supervised Action Segmentation,14
2020,MLCVNet: Multi-Level Context VoteNet for 3D Object Detection,34
2020,All in One Bad Weather Removal Using Architectural Search,24
2020,Block-Wisely Supervised Neural Architecture Search With Knowledge Distillation,67
2020,ADINet: Attribute Driven Incremental Network for Retinal Image Classification,5
2020,SketchyCOCO: Image Generation From Freehand Scene Sketches,22
2020,Collaborative Motion Prediction via Neural Motion Message Passing,19
2020,Intelligent Home 3D: Automatic 3D-House Design From Linguistic Descriptions Only,11
2020,Memory-Efficient Hierarchical Neural Architecture Search for Image Denoising,26
2020,Uninformed Students: Student-Teacher Anomaly Detection With Discriminative Latent Embeddings,72
2020,PointGMM: A Neural GMM Network for Point Clouds,21
2020,PuppeteerGAN: Arbitrary Portrait Animation With Semantic-Aware Appearance Transformation,15
2020,Universal Litmus Patterns: Revealing Backdoor Attacks in CNNs,45
2020,G2L-Net: Global to Local Network for Real-Time 6D Pose Estimation With Embedding Vector Features,13
2020,TransMoMo: Invariance-Driven Unsupervised Video Motion Retargeting,14
2020,Fantastic Answers and Where to Find Them: Immersive Question-Directed Visual Attention,8
2020,Novel Object Viewpoint Estimation Through Reconstruction Alignment,3
2020,Deep Semantic Clustering by Partition Confidence Maximisation,30
2020,McFlow: Monte Carlo Flow Models for Data Imputation,13
2020,Cross-Domain Correspondence Learning for Exemplar-Based Image Translation,62
2020,Tracking by Instance Detection: A Meta-Learning Approach,62
2020,Optical Flow in the Dark,9
2020,Network Adjustment: Channel Search Guided by FLOPs Utilization Ratio,1
2020,On the Distribution of Minima in Intrinsic-Metric Rotation Averaging,3
2020,Your Local GAN: Designing Two Dimensional Local Attention Mechanisms for Generative Models,25
2020,DeepFaceFlow: In-the-Wild Dense 3D Facial Motion Estimation,4
2020,Unsupervised Instance Segmentation in Microscopy Images via Panoptic Domain Adaptation and Task Re-Weighting,23
2020,Adversarial Latent Autoencoders,79
2020,Unsupervised Learning of Probably Symmetric Deformable 3D Objects From Images in the Wild,92
2020,Differentiable Volumetric Rendering: Learning Implicit 3D Representations Without 3D Supervision,177
2020,Cross-Modal Pattern-Propagation for RGB-T Tracking,14
2020,Deep Residual Flow for Out of Distribution Detection,22
2020,DNU: Deep Non-Local Unrolling for Computational Spectral Imaging,18
2020,BDD100K: A Diverse Driving Dataset for Heterogeneous Multitask Learning,323
2020,ROAM: Recurrently Optimizing Tracking Model,45
2020,IntrA: 3D Intracranial Aneurysm Dataset for Deep Learning,9
2020,GIFnets: Differentiable GIF Encoding Framework,1
2020,PointAugment: An Auto-Augmentation Framework for Point Cloud Classification,30
2020,Optical Flow in Dense Foggy Scenes Using Semi-Supervised Learning,10
2020,GanHand: Predicting Human Grasp Affordances in Multi-Object Scenes,33
2020,Learning Longterm Representations for Person Re-Identification Using Radio Signals,21
2020,GNN3DMOT: Graph Neural Network for 3D Multi-Object Tracking With 2D-3D Multi-Feature Learning,58
2020,UNAS: Differentiable Architecture Search Meets Reinforcement Learning,12
2020,Reliable Weighted Optimal Transport for Unsupervised Domain Adaptation,37
2020,MINA: Convex Mixed-Integer Programming for Non-Rigid Shape Alignment,6
2020,Learning Unseen Concepts via Hierarchical Decomposition and Composition,8
2020,Taking a Deeper Look at Co-Salient Object Detection,34
2020,CPR-GCN: Conditional Partial-Residual Graph Convolutional Network in Automated Anatomical Labeling of Coronary Arteries,8
2020,A Shared Multi-Attention Framework for Multi-Label Zero-Shot Learning,30
2020,Better Captioning With Sequence-Level Exploration,7
2020,EPOS: Estimating 6D Pose of Objects With Symmetries,47
2020,Sequential Motif Profiles and Topological Plots for Offline Signature Verification,5
2020,BidNet: Binocular Image Dehazing Without Explicit Disparity Estimation,24
2020,Oops! Predicting Unintentional Action in Video,29
2020,Editing in Style: Uncovering the Local Semantics of GANs,57
2020,Frequency Domain Compact 3D Convolutional Neural Networks,13
2020,Instance Segmentation of Biological Images Using Harmonic Embeddings,23
2020,Multi-Modal Domain Adaptation for Fine-Grained Action Recognition,53
2020,Celeb-DF: A Large-Scale Challenging Dataset for DeepFake Forensics,189
2020,Putting Visual Object Recognition in Context,7
2020,Normalized and Geometry-Aware Self-Attention Network for Image Captioning,45
2020,Adversarial Feature Hallucination Networks for Few-Shot Learning,66
2020,Determinant Regularization for Gradient-Efficient Graph Matching,3
2020,Spherical Space Domain Adaptation With Robust Pseudo-Label Loss,28
2020,G3AN: Disentangling Appearance and Motion for Video Generation,15
2020,Single-View View Synthesis With Multiplane Images,67
2020,Rethinking Data Augmentation for Image Super-resolution: A Comprehensive Analysis and a New Strategy,34
2020,MCEN: Bridging Cross-Modal Gap between Cooking Recipes and Dish Images with Latent Variable Model,19
2020,DIST: Rendering Deep Implicit Signed Distance Function With Differentiable Sphere Tracing,83
2020,Meta-Learning of Neural Architectures for Few-Shot Learning,37
2020,Improving the Robustness of Capsule Networks to Image Affine Transformations,16
2020,Zero-Assignment Constraint for Graph Matching With Outliers,6
2020,"Correlating Edge, Pose With Parsing",13
2020,Semi-Supervised Semantic Segmentation With Cross-Consistency Training,85
2020,IDA-3D: Instance-Depth-Aware 3D Object Detection From Stereo Vision for Autonomous Driving,14
2020,Few Sample Knowledge Distillation for Efficient Network Compression,32
2020,How to Train Your Deep Multi-Object Tracker,48
2020,DeFeat-Net: General Monocular Depth via Simultaneous Unsupervised Representation Learning,17
2020,Transferring and Regularizing Prediction for Semantic Segmentation,8
2020,FineGym: A Hierarchical Video Dataset for Fine-Grained Action Understanding,56
2020,Retina-Like Visual Image Reconstruction via Spiking Neural Model,17
2020,3D-ZeF: A 3D Zebrafish Tracking Benchmark Dataset,7
2020,A Local-to-Global Approach to Multi-Modal Movie Scene Segmentation,31
2020,High-Resolution Daytime Translation Without Domain Labels,30
2020,Pathological Retinal Region Segmentation From OCT Images Using Geometric Relation Based Augmentation,14
2020,Memory Enhanced Global-Local Aggregation for Video Object Detection,72
2020,Factorized Higher-Order CNNs With an Application to Spatio-Temporal Emotion Estimation,18
2020,Grid-GCN for Fast and Scalable Point Cloud Learning,68
2020,TESA: Tensor Element Self-Attention via Matricization,7
2020,Video Playback Rate Perception for Self-Supervised Spatio-Temporal Representation Learning,59
2020,Adversarial Vertex Mixup: Toward Better Adversarially Robust Generalization,29
2020,OccuSeg: Occupancy-Aware 3D Instance Segmentation,69
2020,Cross-View Tracking for Multi-Human 3D Pose Estimation at Over 100 FPS,23
2020,Variational-EM-Based Deep Learning for Noise-Blind Image Deblurring,11
2020,Unsupervised Domain Adaptation With Hierarchical Gradient Synchronization,16
2020,Controllable Orthogonalization in Training DNNs,18
2020,The Edge of Depth: Explicit Constraints Between Segmentation and Depth,28
2020,Self-Supervised Learning of Video-Induced Visual Invariances,33
2020,Inducing Hierarchical Compositional Model by Sparsifying Generator Network,3
2020,A Neural Rendering Framework for Free-Viewpoint Relighting,26
2020,Wavelet Integrated CNNs for Noise-Robust Image Classification,31
2020,Joint Semantic Segmentation and Boundary Detection Using Iterative Pyramid Contexts,29
2020,Convolution in the Cloud: Learning Deformable Kernels in 3D Graph Convolution Networks for Point Cloud Analysis,31
2020,Learning for Video Compression With Hierarchical Quality and Recurrent Enhancement,47
2020,A Certifiably Globally Optimal Solution to Generalized Essential Matrix Estimation,7
2020,Cross-Modal Cross-Domain Moment Alignment Network for Person Search,7
2020,Sketch Less for More: On-the-Fly Fine-Grained Sketch-Based Image Retrieval,18
2020,Synthetic Learning: Learn From Distributed Asynchronized Discriminator GAN Without Sharing Medical Image Data,14
2020,FocalMix: Semi-Supervised Learning for 3D Medical Image Detection,41
2020,HOPE-Net: A Graph-Based Model for Hand-Object Pose Estimation,45
2020,Adversarial Camouflage: Hiding Physical-World Attacks With Natural Styles,44
2020,Mapillary Street-Level Sequences: A Dataset for Lifelong Place Recognition,28
2020,Fashion Editing With Adversarial Parsing Learning,17
2020,Visual-Textual Capsule Routing for Text-Based Video Segmentation,15
2020,Detecting Attended Visual Targets in Video,12
2020,Orthogonal Convolutional Neural Networks,417
2020,Minimizing Discrete Total Curvature for Image Processing,4
2020,Learning to Have an Ear for Face Super-Resolution,14
2020,Can Weight Sharing Outperform Random Architecture Search? An Investigation With TuNAS,59
2020,Learning Multi-Object Tracking and Segmentation From Automatic Annotations,32
2020,Learning Fast and Robust Target Models for Video Object Segmentation,39
2020,Online Deep Clustering for Unsupervised Representation Learning,59
2020,Cascaded Human-Object Interaction Recognition,51
2020,Deep Non-Line-of-Sight Reconstruction,10
2020,ActiveMoCap: Optimized Viewpoint Selection for Active Human Motion Capture,10
2020,Generating and Exploiting Probabilistic Monocular Depth Estimates,12
2020,Universal Weighting Metric Learning for Cross-Modal Matching,19
2020,"Show, Edit and Tell: A Framework for Editing Image Captions",13
2020,Efficient Derivative Computation for Cumulative B-Splines on Lie Groups,13
2020,Learning to Transfer Texture From Clothing Images to 3D Humans,28
2020,Explaining Knowledge Distillation by Quantifying the Knowledge,29
2020,A Spatiotemporal Volumetric Interpolation Network for 4D Dynamic Medical Image,6
2020,Mesh-Guided Multi-View Stereo With Pyramid Architecture,5
2020,Front2Back: Single View 3D Shape Reconstruction via Front to Back Prediction,13
2020,Context R-CNN: Long Term Temporal Context for Per-Camera Object Detection,41
2020,GrappaNet: Combining Parallel Imaging With Deep Learning for Multi-Coil MRI Reconstruction,30
2020,Revisiting Pose-Normalization for Fine-Grained Few-Shot Recognition,13
2020,Fine-Grained Image-to-Image Transformation Towards Visual Recognition,6
2020,Counting Out Time: Class Agnostic Video Repetition Counting in the Wild,18
2020,Learning to Segment 3D Point Clouds in 2D Image Space,20
2020,Unsupervised Intra-Domain Adaptation for Semantic Segmentation Through Self-Supervision,118
2020,Rethinking Differentiable Search for Mixed-Precision Neural Networks,26
2020,ASLFeat: Learning Local Features of Accurate Shape and Localization,54
2020,Can Deep Learning Recognize Subtle Human Activities?,4
2020,Learning Saliency Propagation for Semi-Supervised Instance Segmentation,8
2020,Diverse Image Generation via Self-Conditioned GANs,33
2020,SegGCN: Efficient 3D Point Cloud Segmentation With Fuzzy Spherical Kernel,24
2020,Novel View Synthesis of Dynamic Scenes With Globally Coherent Depths From a Monocular Camera,23
2020,Iteratively-Refined Interactive 3D Medical Image Segmentation With Multi-Agent Reinforcement Learning,19
2020,AdderNet: Do We Really Need Multiplications in Deep Learning?,64
2020,DualConvMesh-Net: Joint Geodesic and Euclidean Convolutions on 3D Meshes,31
2020,Search to Distill: Pearls Are Everywhere but Not the Eyes,32
2020,Syntax-Aware Action Targeting for Video Captioning,34
2020,Learning Depth-Guided Convolutions for Monocular 3D Object Detection,69
2020,A Multigrid Method for Efficiently Training Video Models,50
2020,Old Is Gold: Redefining the Adversarially Learned One-Class Classifier Training Paradigm,45
2020,Towards High-Fidelity 3D Face Reconstruction From In-the-Wild Images Using Graph Convolutional Networks,33
2020,Bundle Adjustment on a Graph Processor,14
2020,SQE: a Self Quality Evaluation Metric for Parameters Optimization in Multi-Object Tracking,4
2020,Correspondence-Free Material Reconstruction using Sparse Surface Constraints,5
2020,Optimal least-squares solution to the hand-eye calibration problem,2
2020,Cost Volume Pyramid Based Depth Inference for Multi-View Stereo,37
2020,Unity Style Transfer for Person Re-Identification,27
2020,Unbiased Scene Graph Generation From Biased Training,128
2020,SynSin: End-to-End View Synthesis From a Single Image,100
2020,Generalized Product Quantization Network for Semi-Supervised Image Retrieval,12
2020,A Sparse Resultant Based Method for Efficient Minimal Solvers,4
2020,Decoupled Representation Learning for Skeleton-Based Gesture Recognition,14
2020,Cross-Domain Detection via Graph-Induced Prototype Alignment,50
2020,Video Object Grounding Using Semantic Roles in Language Description,16
2020,Active Vision for Early Recognition of Human Actions,9
2020,Minimal Solutions to Relative Pose Estimation From Two Views Sharing a Common Direction With Unknown Focal Length,7
2020,Which Is Plagiarism: Fashion Image Retrieval Based on Regional Representation for Design Protection,7
2020,Learning Integral Objects With Intra-Class Discriminator for Weakly-Supervised Semantic Segmentation,44
2020,Neural Topological SLAM for Visual Navigation,58
2020,Semi-Supervised Semantic Image Segmentation With Self-Correcting Networks,16
2020,Learning Multi-Granular Hypergraphs for Video-Based Person Re-Identification,34
2020,UC-Net: Uncertainty Inspired RGB-D Saliency Detection via Conditional Variational Autoencoders,100
2020,Minimal Solvers for 3D Scan Alignment With Pairs of Intersecting Lines,4
2020,Learning Canonical Shape Space for Category-Level 6D Object Pose and Size Estimation,37
2020,Few-Shot Learning via Embedding Adaptation With Set-to-Set Functions,151
2020,PF-Net: Point Fractal Network for 3D Point Cloud Completion,94
2020,Synchronizing Probability Measures on Rotations via Optimal Transport,12
2020,Smooth Shells: Multi-Scale Shape Registration With Functional Maps,16
2020,What Machines See Is Not What They Get: Fooling Scene Text Recognition Models With Adversarial Text Images,15
2020,Modality Shifting Attention Network for Multi-Modal Video Question Answering,23
2020,Meta-Transfer Learning for Zero-Shot Super-Resolution,85
2020,nuScenes: A Multimodal Dataset for Autonomous Driving,1023
2020,Adaptive Hierarchical Down-Sampling for Point Cloud Classification,29
2020,Anisotropic Convolutional Networks for 3D Semantic Scene Completion,10
2020,MARMVS: Matching Ambiguity Reduced Multiple View Stereo for Efficient Large Scale Scene Reconstruction,7
2020,Solving Jigsaw Puzzles With Eroded Boundaries,5
2020,Cross-Domain Face Presentation Attack Detection via Multi-Domain Disentangled Representation Learning,32
2020,Spatial Pyramid Based Graph Reasoning for Semantic Segmentation,63
2020,Pattern-Structure Diffusion for Multi-Task Learning,17
2020,Model Adaptation: Unsupervised Domain Adaptation Without Source Data,80
2020,Clean-Label Backdoor Attacks on Video Recognition Models,43
2020,Learning Deep Network for Detecting 3D Object Keypoints and 6D Poses,6
2020,Exploring Unlabeled Faces for Novel Attribute Discovery,6
2020,TRPLP – Trifocal Relative Pose From Lines at Points,1
2020,Reinforced Feature Points: Optimizing Feature Detection and Description for a High-Level Task,21
2020,Boundary-Aware 3D Building Reconstruction From a Single Overhead Image,14
2020,Face X-Ray for More General Face Forgery Detection,145
2020,CookGAN: Causality Based Text-to-Image Synthesis,14
2020,Learning Augmentation Network via Influence Functions,3
2020,Deep Optics for Single-Shot High-Dynamic-Range Imaging,53
2020,Weakly-Supervised Salient Object Detection via Scribble Annotations,68
2020,HandVoxNet: Deep Voxel-Based Network for 3D Hand Shape and Pose Estimation From a Single Depth Map,23
2020,Tangent Images for Mitigating Spherical Distortion,18
2020,MoreFusion: Multi-object Reasoning for 6D Pose Estimation from Volumetric Fusion,23
2020,Physically Realizable Adversarial Examples for LiDAR Object Detection,44
2020,A Model-Driven Deep Neural Network for Single Image Rain Removal,69
2020,Select to Better Learn: Fast and Accurate Deep Learning Using Data Selection From Nonlinear Manifolds,9
2020,3D Photography Using Context-Aware Layered Depth Inpainting,65
2020,"Instance-Aware, Context-Focused, and Memory-Efficient Weakly Supervised Object Detection",58
2020,ImVoteNet: Boosting 3D Object Detection in Point Clouds With Image Votes,71
2020,Attention Mechanism Exploits Temporal Contexts: Real-Time 3D Human Pose Reconstruction,27
2020,Improved Few-Shot Visual Classification,52
2020,Rotation Consistent Margin Loss for Efficient Low-Bit Face Recognition,19
2020,SEED: Semantics Enhanced Encoder-Decoder Framework for Scene Text Recognition,59
2020,Learning Video Stabilization Using Optical Flow,11
2020,Understanding Adversarial Examples From the Mutual Influence of Images and Perturbations,43
2020,SiamCAR: Siamese Fully Convolutional Classification and Regression for Visual Tracking,100
2020,Seeing Through Fog Without Seeing Fog: Deep Multimodal Sensor Fusion in Unseen Adverse Weather,49
2020,Lightweight Photometric Stereo for Facial Details Recovery,10
2020,Towards Universal Representation Learning for Deep Face Recognition,36
2020,Towards Photo-Realistic Virtual Try-On by Adaptively Generating↔Preserving Image Content,47
2020,Sign Language Transformers: Joint End-to-End Sign Language Recognition and Translation,91
2020,Uncertainty-Aware Score Distribution Learning for Action Quality Assessment,15
2020,Structured Multi-Hashing for Model Compression,5
2020,Predicting Lymph Node Metastasis Using Histopathological Images Based on Multiple Instance Learning With Deep Graph Convolution,25
2020,Norm-Aware Embedding for Efficient Person Search,29
2020,Going Deeper With Lean Point Networks,10
2020,Learning to Dress 3D People in Generative Clothing,67
2020,Active 3D Motion Visualization Based on Spatiotemporal Light-Ray Integration,1
2020,VPLNet: Deep Single View Normal Estimation With Vanishing Points and Lines,15
2020,Weakly-Supervised Mesh-Convolutional Hand Reconstruction in the Wild,57
2020,Deep Learning for Handling Kernel/model Uncertainty in Image Deconvolution,12
2020,Gait Recognition via Semi-supervised Disentangled Representation Learning to Identity and Covariate Features,23
2020,Flow Contrastive Estimation of Energy-Based Models,40
2020,How Does Noise Help Robustness? Explanation and Exploration under the Neural SDE Framework,13
2020,NETNet: Neighbor Erasing and Transferring Network for Better Single Shot Object Detection,16
2020,Agriculture-Vision: A Large Aerial Image Database for Agricultural Pattern Analysis,45
2020,BBN: Bilateral-Branch Network With Cumulative Learning for Long-Tailed Visual Recognition,138
2020,Attentive Normalization for Conditional Image Generation,17
2020,MMTM: Multimodal Transfer Module for CNN Fusion,43
2020,Deep Homography Estimation for Dynamic Scenes,22
2020,Perceptual Quality Assessment of Smartphone Photography,41
2020,ReSprop: Reuse Sparsified Backpropagation,4
2020,Self-Supervised Monocular Scene Flow Estimation,34
2020,Referring Image Segmentation via Cross-Modal Progressive Comprehension,29
2020,Transferring Dense Pose to Proximal Animal Classes,26
2020,Dynamic Convolutions: Exploiting Spatial Sparsity for Faster Inference,36
2020,Towards Global Explanations of Convolutional Neural Networks With Concept Attribution,13
2020,Adaptive Graph Convolutional Network With Attention Graph Clustering for Co-Saliency Detection,23
2020,On the Detection of Digital Face Manipulation,96
2020,A Unified Object Motion and Affinity Model for Online Multi-Object Tracking,30
2020,PIFuHD: Multi-Level Pixel-Aligned Implicit Function for High-Resolution 3D Human Digitization,159
2020,Defending and Harnessing the Bit-Flip Based Adversarial Weight Attack,21
2020,Lighthouse: Predicting Lighting Volumes for Spatially-Coherent Illumination,28
2020,Density-Aware Feature Embedding for Face Clustering,14
2020,Context-Aware Human Motion Prediction,31
2020,StereoGAN: Bridging Synthetic-to-Real Domain Gap by Joint Optimization of Domain Translation and Stereo Matching,11
2020,Dynamic Hierarchical Mimicking Towards Consistent Optimization Objectives,13
2020,Multi-Scale Progressive Fusion Network for Single Image Deraining,96
2020,Unsupervised Deep Shape Descriptor With Point Distribution Learning,5
2020,Bidirectional Graph Reasoning Network for Panoptic Segmentation,26
2020,Evaluating Weakly Supervised Object Localization Methods Right,72
2020,Deblurring by Realistic Blurring,60
2020,Learning User Representations for Open Vocabulary Image Hashtag Prediction,2
2020,Deepstrip: High-Resolution Boundary Refinement,5
2020,Conditional Channel Gated Networks for Task-Aware Continual Learning,41
2020,PaStaNet: Toward Human Activity Knowledge Engine,37
2020,Learning a Reinforced Agent for Flexible Exposure Bracketing Selection,2
2020,SpeedNet: Learning the Speediness in Videos,90
2020,Hierarchical Feature Embedding for Attribute Recognition,17
2020,AvatarMe: Realistically Renderable 3D Facial Reconstruction “In-the-Wild”,37
2020,Achieving Robustness in the Wild via Adversarial Mixing With Disentangled Representations,28
2020,BFBox: Searching Face-Appropriate Backbone and Feature Pyramid Network for Face Detector,9
2020,Attention Convolutional Binary Neural Tree for Fine-Grained Visual Categorization,52
2020,Rotation Equivariant Graph Convolutional Network for Spherical Image Classification,11
