YEAR,TITLE,citations
2017,Premise Selection for Theorem Proving by Deep Graph Embedding,102
2017,Gradients of Generative Models for Improved Discriminative Analysis of Tandem Mass Spectra,8
2017,Style Transfer from Non-Parallel Text by Cross-Alignment,525
2017,Emergence of Language with Multi-agent Games: Learning to Communicate with Sequences of Symbols,176
2017,"ELF: An Extensive, Lightweight and Flexible Research Platform for Real-time Strategy Games",119
2017,"ExtremeWeather: A large-scale climate dataset for semi-supervised detection, localization, and understanding of extreme weather events",134
2017,Approximation and Convergence Properties of Generative Adversarial Learning,112
2017,Gradient descent GAN optimization is locally stable,269
2017,f-GANs in an Information Geometric Nutshell,11
2017,The Numerics of GANs,348
2017,Generalizing GANs: A Turing Perspective,16
2017,Dualing GANs,33
2017,Fisher GAN,138
2017,Learning to Pivot with Adversarial Networks,167
2017,Improved Training of Wasserstein GANs,5834
2017,MMD GAN: Towards Deeper Understanding of Moment Matching Network,477
2017,GANs Trained by a Two Time-Scale Update Rule Converge to a Local Nash Equilibrium,3971
2017,VEEGAN: Reducing Mode Collapse in GANs using Implicit Variational Learning,389
2017,Semi-supervised Learning with GANs: Manifold Invariance with Improved Inference,128
2017,Good Semi-supervised Learning That Requires a Bad GAN,359
2017,Bayesian GAN,5
2017,Dual Discriminator Generative Adversarial Nets,224
2017,ALICE: Towards Understanding Adversarial Learning for Joint Distribution Matching,199
2017,Triple Generative Adversarial Nets,361
2017,Triangle Generative Adversarial Networks,121
2017,Structured Generative Adversarial Networks,52
2017,PixelGAN Autoencoders,84
2017,Learning to Compose Domain-Specific Transformations for Data Augmentation,227
2017,Unsupervised Image-to-Image Translation Networks,1882
2017,Controllable Invariance through Adversarial Feature Learning,154
2017,Adversarial Ranking for Language Generation,266
2017,Linear Time Computation of Moments in Sum-Product Networks,4
2017,Attention is All you Need,31339
2017,Masked Autoregressive Flow for Density Estimation,596
2017,Variational Walkback: Learning a Transition Operator as a Stochastic Recurrent Net,25
2017,TernGrad: Ternary Gradients to Reduce Communication in Distributed Deep Learning,624
2017,End-to-End Differentiable Proving,260
2017,A simple neural network module for relational reasoning,1201
2017,Dual Path Networks,618
2017,Spherical convolutions and their application in molecular modelling,58
2017,Deep Sets,1189
2017,Simple and Scalable Predictive Uncertainty Estimation using Deep Ensembles,2058
2017,Self-Normalizing Neural Networks,1733
2017,Batch Renormalization: Towards Reducing Minibatch Dependence in Batch-Normalized Models,346
2017,"Train longer, generalize better: closing the generalization gap in large batch training of neural networks",505
2017,Nonlinear random matrix theory for deep learning,107
2017,Distral: Robust multitask reinforcement learning,337
2017,Imagination-Augmented Agents for Deep Reinforcement Learning,269
2017,Scalable trust-region method for deep reinforcement learning using Kronecker-factored approximation,491
2017,Learning Combinatorial Optimization Algorithms over Graphs,696
2017,Targeting EEG/LFP Synchrony with Neural Nets,43
2017,Toward Goal-Driven Neural Network Models for the Rodent Whisker-Trigeminal System,23
2017,Fast amortized inference of neural activity from calcium imaging data with variational autoencoders,40
2017,Learning to See Physics via Visual De-animation,146
2017,Shape and Material from Sound,14
2017,Neural Networks for Efficient Bayesian Decoding of Natural Images from Retinal Neurons,46
2017,Quantifying how much sensory information in a neural code is relevant for behavior,22
2017,Model-based Bayesian inference of neural activity and connectivity from all-optical interrogation of a neural circuit,20
2017,Deep Hyperalignment,14
2017,Unified representation of tractography and diffusion-weighted MRI data using sparse multidimensional arrays,11
2017,Online Dynamic Programming,10
2017,Unsupervised Learning of Disentangled Representations from Video,432
2017,Interactive Submodular Bandit,17
2017,Streaming Robust Submodular Maximization: A Partitioned Thresholding Approach,35
2017,Minimizing a Submodular Function from Samples,11
2017,Process-constrained batch Bayesian optimisation,5
2017,The Marginal Value of Adaptive Gradient Methods in Machine Learning,788
2017,Breaking the Nonsmooth Barrier: A Scalable Parallel Method for Composite Optimization,37
2017,Beyond Worst-case: A Probabilistic Analysis of Affine Policies in Dynamic Optimization,7
2017,Approximate Supermodularity Bounds for Experimental Design,27
2017,On Blackbox Backpropagation and Jacobian Sensing,3
2017,Asynchronous Coordinate Descent under More Realistic Assumptions,57
2017,Clustering with Noisy Queries,67
2017,Approximation Algorithms for $\ell_0$-Low Rank Approximation,16
2017,Convergence Analysis of Two-layer Neural Networks with ReLU Activation,461
2017,Can Decentralized Algorithms Outperform Centralized Algorithms? A Case Study for Decentralized Parallel Stochastic Gradient Descent,507
2017,Decomposition-Invariant Conditional Gradient for General Polytopes with Line Search,26
2017,Straggler Mitigation in Distributed Optimization Through Data Encoding,123
2017,ADMM without a Fixed Penalty Parameter: Faster Convergence with New Adaptive Penalization,35
2017,Accelerated Stochastic Greedy Coordinate Descent by Soft Thresholding Projection onto Simplex,12
2017,Safe Adaptive Importance Sampling,36
2017,"Sharpness, Restart and Acceleration",72
2017,Stochastic Optimization with Variance Reduction for Infinite Datasets with Finite Sum Structure,36
2017,Min-Max Propagation,4
2017,A Disentangled Recognition and Nonlinear Dynamics Model for Unsupervised Learning,199
2017,Concrete Dropout,354
2017,"REBAR: Low-variance, unbiased gradient estimates for discrete latent variable models",224
2017,Hierarchical Implicit Models and Likelihood-Free Variational Inference,160
2017,"Sticking the Landing: Simple, Lower-Variance Gradient Estimators for Variational Inference",126
2017,Perturbative Black Box Variational Inference,35
2017,Fast Black-box Variational Inference through Stochastic Trust-Region Optimization,22
2017,Excess Risk Bounds for the Bayes Risk using Variational Inference in Latent Gaussian Models,26
2017,Experimental Design for Learning Causal Graphs with Latent Variables,42
2017,Permutation-based Causal Inference Algorithms with Interventions,55
2017,Learning Causal Structures Using Regression Invariance,36
2017,Counterfactual Fairness,772
2017,Causal Effect Inference with Deep Latent-Variable Models,319
2017,Conic Scan-and-Cover algorithms for nonparametric topic modeling,17
2017,Tractability in Structured Probability Spaces,13
2017,PASS-GLM: polynomial approximate sufficient statistics for scalable Bayesian GLM inference,21
2017,Adaptive Bayesian Sampling with Monte Carlo EM,0
2017,Reliable Decision Support using Counterfactual Models,122
2017,Multi-Information Source Optimization,137
2017,Doubly Stochastic Variational Inference for Deep Gaussian Processes,273
2017,Convolutional Gaussian Processes,103
2017,Multiresolution Kernel Approximation for Gaussian Process Regression,19
2017,Unifying PAC and Regret: Uniform PAC Bounds for Episodic Reinforcement Learning,150
2017,Repeated Inverse Reinforcement Learning,47
2017,Inverse Reward Design,202
2017,Dynamic-Depth Context Tree Weighting,2
2017,Policy Gradient With Value Function Approximation For Collective Multiagent Planning,36
2017,A Unified Game-Theoretic Approach to Multiagent Reinforcement Learning,364
2017,Dynamic Safe Interruptibility for Decentralized Multi-Agent Reinforcement Learning,21
2017,Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments,1663
2017,Spectrally-normalized margin bounds for neural networks,695
2017,On Structured Prediction Theory with Calibrated Convex Surrogate Losses,37
2017,Collaborative PAC Learning,23
2017,Submultiplicative Glivenko-Cantelli and Uniform Convergence of Revenues,9
2017,Discriminative State Space Models,5
2017,Countering Feedback Delays in Multi-Agent Learning,18
2017,Variance-based Regularization with Convex Objectives,165
2017,Learning Mixture of Gaussians with Streaming Data,9
2017,On the Consistency of Quick Shift,5
2017,Early stopping for kernel boosting algorithms: A general analysis with localized complexities,41
2017,"A Sharp Error Analysis for the Fused Lasso, with Application to Approximate Changepoint Screening",52
2017,The Scaling Limit of High-Dimensional Online Independent Component Analysis,11
2017,A Universal Analysis of Large-Scale Regularized Least Squares Solutions,18
2017,Convergence of Gradient EM on Multi-component Mixture of Gaussians,32
2017,Online control of the false discovery rate with decaying memory,48
2017,Learning with Bandit Feedback in Potential Games,37
2017,Fully Decentralized Policies for Multi-Agent Systems: An Information Theoretic Approach,30
2017,Revenue Optimization with Approximate Bid Predictions,60
2017,A Decomposition of Forecast Error in Prediction Markets,9
2017,Dynamic Revenue Sharing,9
2017,Multi-View Decision Processes: The Helper-AI Problem,19
2018,"Modelling sparsity, heterogeneity, reciprocity and community structure in temporal interaction data",12
2018,The Lingering of Gradients: How to Reuse Gradients Over Time,3
2018,Quadratic Decomposable Submodular Function Minimization,13
2018,On the Global Convergence of Gradient Descent for Over-parameterized Models using Optimal Transport,345
2018,Leveraging the Exact Likelihood of Deep Latent Variable Models,34
2018,DVAE#: Discrete Variational Autoencoders with Relaxed Boltzmann Priors,35
2018,Amortized Inference Regularization,55
2018,GumBolt: Extending Gumbel trick to Boltzmann priors,8
2018,Constrained Generation of Semantically Valid Graphs via Regularizing Variational Autoencoders,121
2018,Invertibility of Convolutional Generative Networks from Partial Measurements,54
2018,Glow: Generative Flow with Invertible 1x1 Convolutions,1309
2018,Multimodal Generative Models for Scalable Weakly-Supervised Learning,136
2018,IntroVAE: Introspective Variational Autoencoders for Photographic Image Synthesis,134
2018,Towards Text Generation with Adversarially Learned Neural Outlines,34
2018,Unsupervised Image-to-Image Translation Using Domain-Specific Variational Information Bound,32
2018,Adversarial Scene Editing: Automatic Object Removal from Weak Supervision,50
2018,Generalizing Point Embeddings using the Wasserstein Space of Elliptical Distributions,57
2018,Banach Wasserstein GAN,101
2018,A Convex Duality Framework for GANs,48
2018,On the Convergence and Robustness of Training GANs with Regularized Optimal Transport,78
2018,On gradient regularizers for MMD GANs,73
2018,PacGAN: The power of two samples in generative adversarial networks,149
2018,Are GANs Created Equal? A Large-Scale Study,700
2018,Disconnected Manifold Learning for Generative Adversarial Networks,55
2018,Hessian-based Analysis of Large Batch Training and Robustness to Adversaries,88
2018,Fast and Effective Robustness Certification,248
2018,Graphical Generative Adversarial Networks,24
2018,Deep Defense: Training DNNs with Improved Adversarial Robustness,64
2018,Learning to Repair Software Vulnerabilities with Generative Adversarial Networks,32
2018,Memory Replay GANs: Learning to Generate New Categories without Forgetting,117
2018,Unsupervised Attention-guided Image-to-Image Translation,208
2018,Conditional Adversarial Domain Adaptation,800
2018,Video-to-Video Synthesis,597
2018,Generalized Zero-Shot Learning with Deep Calibration Network,129
2018,Low-shot Learning via Covariance-Preserving Adversarial Augmentation Networks,69
2018,Trading robust representations for sample complexity through self-supervised visual experience,13
2018,TADAM: Task dependent adaptive metric for improved few-shot learning,658
2018,"FishNet: A Versatile Backbone for Image, Region, and Pixel Level Prediction",70
2018,Batch-Instance Normalization for Adaptively Style-Invariant Neural Networks,107
2018,A^2-Nets: Double Attention Networks,262
2018,Pelee: A Real-Time Object Detection System on Mobile Devices,263
2018,PointCNN: Convolution On X-Transformed Points,1000
2018,Deep Neural Networks with Box Convolutions,12
2018,An intriguing failing of convolutional neural networks and the CoordConv solution,436
2018,3D Steerable CNNs: Learning Rotationally Equivariant Features in Volumetric Data,185
2018,Moonshine: Distilling with Cheap Convolutions,77
2018,Kalman Normalization: Normalizing Internal Representations Across Network Layers,22
2018,SplineNets: Continuous Neural Decision Graphs,10
2018,CapProNet: Deep Feature Learning via Orthogonal Projections onto Capsule Subspaces,46
2018,Which Neural Net Architectures Give Rise to Exploding and Vanishing Gradients?,140
2018,Exact natural gradient in deep linear networks and its application to the nonlinear case,34
2018,Fast Approximate Natural Gradient Descent in a Kronecker Factored Eigenbasis,57
2018,Post: Device Placement with Cross-Entropy Minimization and Proximal Policy Optimization,12
2018,Paraphrasing Complex Network: Network Compression via Factor Transfer,159
2018,Learning Compressed Transforms with Low Displacement Rank,27
2018,Knowledge Distillation by On-the-Fly Native Ensemble,196
2018,Scalable methods for 8-bit training of neural networks,159
2018,"Training Deep Models Faster with Robust, Approximate Importance Sampling",57
2018,Collaborative Learning for Deep Neural Networks,90
2018,A Linear Speedup Analysis of Distributed Deep Learning with Sparse and Quantized Communication,106
2018,Bayesian Distributed Stochastic Gradient Descent,13
2018,Regularizing by the Variance of the Activations' Sample-Variances,7
2018,"BML: A High-performance, Low-cost Gradient Synchronization Algorithm for DML Training",20
2018,L4: Practical loss-based stepsize adaptation for deep learning,37
2018,Synaptic Strength For Convolutional Neural Network,16
2018,ChannelNets: Compact and Efficient Convolutional Neural Networks via Channel-Wise Convolutions,33
2018,Frequency-Domain Dynamic Pruning for Convolutional Neural Networks,64
2018,TETRIS: TilE-matching the TRemendous Irregular Sparsity,12
2018,Heterogeneous Bitwidth Binarization in Convolutional Neural Networks,33
2018,HitNet: Hybrid Ternary Recurrent Neural Network,32
2018,A General Method for Amortizing Variational Filtering,15
2018,Multiple Instance Learning for Efficient Sequential Data Classification on Resource-constrained Devices,27
2018,Navigating with Graph Representations for Fast and Scalable Decoding of Neural Language Models,19
2018,Representer Point Selection for Explaining Deep Neural Networks,103
2018,"Interpreting Neural Network Judgments via Minimal, Stable, and Symbolic Corrections",38
2018,DropMax: Adaptive Variational Softmax,10
2018,Out-of-Distribution Detection using Multiple Semantic Label Representations,50
2018,End-to-end Symmetry Preserving Inter-atomic Potential Energy Model for Finite and Extended Systems,132
2018,Deep Predictive Coding Network with Local Recurrent Processing for Object Recognition,37
2018,SLAYER: Spike Layer Error Reassignment in Time,254
2018,DeepPINK: reproducible feature selection in deep neural networks,79
2018,Learning long-range spatial dependencies with horizontal gated recurrent units,62
2018,Neural Interaction Transparency (NIT): Disentangling Learned Interactions for Improved Interpretability,41
2018,A Bridging Framework for Model Optimization and Deep Propagation,13
2018,The Importance of Sampling inMeta-Reinforcement Learning,21
2018,Latent Alignment and Variational Attention,93
2018,Variational Memory Encoder-Decoder,31
2018,Relational recurrent neural networks,157
2018,Learning to Reason with Third Order Tensor Products,45
2018,Reversible Recurrent Neural Networks,36
2018,Breaking the Activation Function Bottleneck through Adaptive Parameterization,9
2018,BRITS: Bidirectional Recurrent Imputation for Time Series,154
2018,Complex Gated Recurrent Neural Networks,30
2018,Middle-Out Decoding,14
2018,Recurrently Controlled Recurrent Networks,18
2018,Tree-to-tree Neural Networks for Program Translation,134
2018,HOUDINI: Lifelong Learning as Program Synthesis,42
2018,Neural Guided Constraint Logic Programming for Program Synthesis,21
2018,Embedding Logical Queries on Knowledge Graphs,121
2018,Expanding Holographic Embeddings for Knowledge Completion,18
2018,On the Dimensionality of Word Embedding,141
2018,Flexible neural representation for physics prediction,123
2018,Content preserving text generation with attribute controls,79
2018,Recurrent Relational Networks,100
2018,GLoMo: Unsupervised Learning of Transferable Relational Graphs,18
2018,Predictive Uncertainty Estimation via Prior Networks,323
2018,Adversarial Multiple Source Domain Adaptation,230
2018,Adversarial Examples that Fool both Computer Vision and Time-Limited Humans,168
2018,A Simple Cache Model for Image Recognition,11
2018,Co-teaching: Robust training of deep neural networks with extremely noisy labels,665
2018,Improved Network Robustness with Adversary Critic,6
2018,Unsupervised Learning of Object Landmarks through Conditional Image Generation,122
2018,Multi-Task Learning as Multi-Objective Optimization,368
2018,Deep Anomaly Detection Using Geometric Transformations,232
2018,Practical Deep Stereo (PDS): Toward applications-friendly deep stereo matching,74
2018,VideoCapsuleNet: A Simplified Network for Action Detection,123
2018,"With Friends Like These, Who Needs Adversaries?",53
2018,Multi-Task Zipping via Layer-wise Neuron Sharing,21
2018,Learning Versatile Filters for Efficient Convolutional Neural Networks,34
2018,Evolutionary Stochastic Gradient Descent for Optimization of Deep Neural Networks,41
2018,Structure-Aware Convolutional Neural Networks,34
2018,Global Gated Mixture of Second-order Pooling for Improving Deep Convolutional Neural Networks,8
2018,Hybrid Macro/Micro Level Backpropagation for Training Deep Spiking Neural Networks,102
2018,Deep Neural Nets with Interpolating Function as Output Activation,32
2018,Neural Edit Operations for Biological Sequences,6
2018,Improved Expressivity Through Dendritic Neural Networks,7
2018,Neural Proximal Gradient Descent for Compressive Imaging,83
2018,Sigsoftmax: Reanalysis of the Softmax Bottleneck,42
2018,Visualizing the Loss Landscape of Neural Nets,765
2018,Clebsch–Gordan Nets: a Fully Fourier Space Spherical Convolutional Neural Network,116
2018,Adaptive Sampling Towards Fast Graph Representation Learning,211
2018,NAIS-Net: Stable Deep Networks from Non-Autonomous  Differential Equations,45
2018,Scaling provable adversarial defenses,281
2018,Lipschitz regularity of deep neural networks: analysis and efficient estimation,166
2018,Training DNNs with Hybrid Block Floating Point,38
2018,Mesh-TensorFlow: Deep Learning for Supercomputers,170
2018,Thwarting Adversarial Examples: An $L_0$-Robust Sparse Fourier Transform,28
2018,Bayesian Adversarial Learning,27
2018,Dendritic cortical microcircuits approximate the backpropagation algorithm,148
2018,Learning a latent manifold of odor representations from neural responses in piriform cortex,21
2018,Size-Noise Tradeoffs in Generative Networks,15
2018,On Neuronal Capacity,9
2018,Learning Overparameterized Neural Networks via Stochastic Gradient Descent on Structured Data,409
2018,"Deep, complex, invertible  networks for inversion of transmission effects in multimode optical fibres",6
2018,Learning towards Minimum Hyperspherical Energy,86
2018,Soft-Gated Warping-GAN for Pose-Guided Person Image Synthesis,121
2018,Deep Attentive Tracking via Reciprocative Learning,131
2018,Robot Learning in Homes: Improving Generalization and Reducing Dataset Bias,77
2018,A flexible model for training action localization with varying levels of supervision,25
2018,Bilinear Attention Networks,385
2018,MacNet: Transferring Knowledge from Machine Comprehension to Sequence-to-Sequence Models,15
2018,Diffusion Maps for Textual Network Embedding,23
2018,FRAGE: Frequency-Agnostic Word Representation,104
2018,A Retrieve-and-Edit Framework for Predicting Structured Outputs,79
2018,Unsupervised Text Style Transfer using Language Models as Discriminators,191
2018,Unsupervised Cross-Modal Alignment of Speech and Text Embedding Spaces,62
2018,GradiVeQ: Vector Quantization for Bandwidth-Efficient Gradient Aggregation in Distributed CNN Training,43
2018,Gradient Sparsification for Communication-Efficient Distributed Optimization,295
2018,Bayesian multi-domain learning for cancer subtype discovery from next-generation sequencing count data,38
2018,Parsimonious Quantile Regression of Financial Asset Tail Dynamics via Sequential Learning,15
2018,Global Geometry of Multichannel Sparse Blind Deconvolution on the Sphere,38
2018,Phase Retrieval Under a Generative Prior,109
2018,Theoretical Linear Convergence of Unfolded ISTA and Its Practical Weights and Thresholds,118
2018,Modern Neural Networks Generalize on Small Data Sets,72
2018,Co-regularized Alignment for Unsupervised Domain Adaptation,90
2018,Neural Networks Trained to Solve Differential Equations Learn General Representations,49
2018,Spectral Filtering for General Linear Dynamical Systems,58
2018,Where Do You Think You're Going?: Inferring Beliefs about Dynamics from Behavior,65
2018,Point process latent variable models of larval zebrafish behavior,19
2018,Provably Correct Automatic Sub-Differentiation for Qualified Programs,26
2018,Neural Ordinary Differential Equations,1653
2018,Information Constraints on Auto-Encoding Variational Bayes,63
2018,Robustness of conditional GANs to noisy labels,65
2018,Bias and Generalization in Deep Generative Models: An Empirical Study,52
2018,Probabilistic Neural Programmed Networks for Scene Generation,14
2018,Step Size Matters in Deep Learning,19
