YEAR,TITLE,citations
2016,BISTRO: An Efficient Relaxation-Based Method for Contextual Bandits,48
2016,Associative Long Short-Term Memory,135
2016,Dueling Network Architectures for Deep Reinforcement Learning,2256
2016,Persistence weighted Gaussian kernel for topological data analysis,146
2016,Learning Convolutional Neural Networks for Graphs,1532
2016,Persistent RNNs: Stashing Recurrent Weights On-Chip,83
2016,Recurrent Orthogonal Networks and Long-Memory Tasks,125
2016,The Arrow of Time in Multivariate Time Series,19
2016,Mixture Proportion Estimation via Kernel Embeddings of Distributions,120
2016,Fast DPP Sampling for Nystrom with Application to Kernel Methods,68
2016,Complex Embeddings for Simple Link Prediction,1247
2016,Interactive Bayesian Hierarchical Clustering,39
2016,A Convolutional Attention Network for Extreme Summarization of Source Code,388
2016,How to Fake Multiply by a Gaussian Matrix,14
2016,Differentially Private Chi-Squared Hypothesis Testing: Goodness of Fit and Independence Testing,107
2016,Pliable Rejection Sampling,7
2016,Differentially Private Policy Evaluation,18
2016,Data-Efficient Off-Policy Policy Evaluation for Reinforcement Learning,327
2016,Discrete Deep Feature Extraction: A Theory and New Architectures,23
2016,Efficient Algorithms for Adversarial Contextual Learning,62
2016,Training Deep Neural Networks via Direct Loss Minimization,77
2016,Sequence to Sequence Training of CTC-RNNs with Partial Windowing,13
2016,Variational Inference for Monte Carlo Objectives,242
2016,Hierarchical Decision Making In Electricity Grid Management,23
2016,Learning Sparse Combinatorial Representations via Two-stage Submodular Maximization,21
2016,Understanding and Improving Convolutional Neural Networks via Concatenated Rectified Linear Units,403
2016,Isotonic Hawkes Processes,52
2016,Cross-Graph Learning of Multi-Relational Associations,14
2016,Markov-modulated Marked Poisson Processes for Check-in Data,16
2016,Beyond Parity Constraints: Fourier Analysis of Hash Functions for Inference,9
2016,On the Power and Limits of Distance-Based Learning,0
2016,A Convex Atomic-Norm Approach to Multiple Sequence Alignment and Motif Discovery,11
2016,Generalized Direct Change Estimation in Ising Model Structure,24
2016,Robust Principal Component Analysis with Side Information,41
2016,Towards Faster Rates and Oracle Property for Low-Rank Matrix Estimation,23
2016,Early and Reliable Event Detection Using Proximity Space Representation,6
2016,Stratified Sampling Meets Machine Learning,30
2016,Efficient Multi-Instance Learning for Activity Recognition from Time Series Data Using an Auto-Regressive Hidden Markov Model,42
2016,Generalization Properties and Implicit Regularization for Multiple Passes SGM,62
2016,Principal Component Projection Without Principal Component Analysis,25
2016,Recovery guarantee of weighted low-rank approximation via alternating minimization,29
2016,Deconstructing the Ladder Network Architecture,100
2016,Generalization and Exploration via Randomized Value Functions,223
2016,Evasion and Hardening of Tree Ensemble Classifiers,136
2016,Dynamic Memory Networks for Visual and Textual Question Answering,699
2016,Estimating Cosmological Parameters from the Dark Matter Distribution,52
2016,Learning Population-Level Diffusions with Generative RNNs,28
2016,Expressiveness of Rectifier Networks,49
2016,Discrete Distribution Estimation under Local Privacy,190
2016,Square Root Graphical Models: Multivariate Generalizations of Univariate Exponential Families that Permit Positive Dependencies,20
2016,A Box-Constrained Approach for Hard Permutation Problems,6
2016,Geometric Mean Metric Learning,124
2016,Sparse Nonlinear Regression: Parameter Estimation under Nonconvexity,36
2016,Conditional Bernoulli Mixtures for Multi-label Classification,43
2016,Scalable Discrete Sampling as a Multi-Armed Bandit Problem,14
2016,Recycling Randomness with Structure for Sublinear time Kernel Expansions,43
2016,Bidirectional Helmholtz Machines,28
2016,Faster Convex Optimization: Simulated Annealing with an Efficient Universal Barrier,19
2016,Preconditioning Kernel Matrices,62
2016,Greedy Column Subset Selection: New Bounds and Distributed Algorithms,41
2016,Dynamic Capacity Networks,80
2016,Pricing a Low-regret Seller,14
